id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,timezone
43971,AO-0005,small_airport,Andulo Airport,-11.4723,16.710899,,AF,AO,AO-BIE,Andulo,no,,ANL,,,https://en.wikipedia.org/wiki/Andulo_Airport,,Africa/Luanda
30840,AO-CNZ,small_airport,Cangamba Airport,-13.7106,19.861099,3894.0,AF,AO,AO-MOX,Cangamba,no,,CNZ,,,https://en.wikipedia.org/wiki/Cangamba_Airport,,Africa/Luanda
43323,AO-DRC,small_airport,Dirico Airport,-17.981924057006836,20.7680606842041,3504.0,AF,AO,AO-CCU,Dirico,no,,DRC,,,,,Africa/Luanda
43322,AO-KNP,small_airport,Capanda Airport,-9.76937007904,15.4553194046,3366.0,AF,AO,AO-MAL,Capanda,no,FNCP,KNP,,,https://en.wikipedia.org/wiki/Kapanda_Airport,Kapanda,Africa/Luanda
43326,AO-NDF,small_airport,N'dalatando Airport,-9.280378,14.982432,2684.0,AF,AO,AO-CNO,N'dalatando,no,,NDF,,,,,Africa/Luanda
301705,AOB,small_airport,Annanberg Airport,-4.90416666667,144.635833333,130.0,OC,PG,PG-MPM,,no,,AOB,ANB,,,,Pacific/Port_Moresby
312362,AOD,small_airport,Abou-Deïa Airport,11.4773,19.2874,1592.0,AF,TD,TD-SA,Abou-Deïa,no,,AOD,,,https://en.wikipedia.org/wiki/Abou-De%C3%AFa_Airport,,Africa/Ndjamena
301727,APP,small_airport,Asapa Airport,-8.979167,148.103611,1930.0,OC,PG,PG-NPP,,no,,APP,APA,,,,Pacific/Port_Moresby
301706,APR,small_airport,April River Airport,-4.67666666667,142.540138889,220.0,OC,PG,PG-ESW,April River,no,AYPE,APR,APR,,,,Pacific/Port_Moresby
42221,AQ-0002,small_airport,Troll Airfield,-71.95714,2.45257,4167.0,AN,AQ,AQ-U-A,Troll Station,no,AT27,QET,,,https://en.wikipedia.org/wiki/Troll_airfield,,Antarctica/Troll
16294,AQY,small_airport,Girdwood-Alyeska Airport,60.968774,-149.119792,150.0,,US,US-AK,Girdwood,no,,AQY,AQY,,https://en.wikipedia.org/wiki/Girdwood_Airport,,America/Anchorage
35399,AR-0005,small_airport,Bragado Airport,-35.145811,-60.480294,196.0,SA,AR,AR-B,Bragado,no,SA2X,QRF,BRA,,,,America/Argentina/Buenos_Aires
35401,AR-0007,small_airport,Caleta Olivia Airport,-46.37428,-67.59409,37.0,SA,AR,AR-Z,Caleta Olivia,no,,CVI,CAO,,,,America/Argentina/Rio_Gallegos
35403,AR-0009,small_airport,Charata Airport,-27.2164,-61.2103,318.0,SA,AR,AR-H,Charata,no,,CNT,CHA,,,,America/Argentina/Cordoba
35404,AR-0010,small_airport,General Villegas Airport,-34.995728,-62.999725,383.0,SA,AR,AR-B,General Villegas,no,,VGS,GAS,,https://en.wikipedia.org/wiki/General_Villegas_Airport,,America/Argentina/Buenos_Aires
35405,AR-0011,small_airport,Los Menucos Airport,-40.817699,-68.074699,2571.0,SA,AR,AR-R,Los Menucos,no,,LMD,MCO,,,,America/Argentina/Salta
35412,AR-0017,small_airport,Valcheta Airport,-40.7000007629,-66.1500015259,629.0,SA,AR,AR-R,Valcheta,no,,VCF,VAL,,,,America/Argentina/Salta
39021,AR-0346,small_airport,Sunchales Aeroclub Airport,-30.9575,-61.5283,299.0,SA,AR,AR-S,Sunchales,no,SAFS,NCJ,SCA,,,,America/Argentina/Cordoba
42812,AR-0390,small_airport,Carmen de Patagones Airport,-40.7781,-62.9803,131.0,SA,AR,AR-B,Carmen de Patagones,no,SA3R,CPG,PAT,,,,America/Argentina/Buenos_Aires
42884,AR-0462,small_airport,Termal Airport,-26.753611,-60.492222,308.0,SA,AR,AR-H,Presidencia Roque Sáenz Peña,no,SARS,PRQ,PSP,,,,America/Argentina/Cordoba
